Toi,Label,Orbital_period,Transit_duration,Transit_depth,Planet_radius,Planet_equilibrium_temperature,Magnitude,Stellar_temperature,Stellar_radius
1636.01,0,1.7729239,1.8255671,26694.37974,14.9468862,1076.840213,11.9056,4769,0.687841
1637.01,0,4.076684,4.4132181,10459.72723,17.5223182,1571.965386,10.6479,6531.44,1.64302
1639.01,0,0.901465,2.5562155,3156.565826,3.4348127,1083.360962,12.974,3896,0.611023
164.01,0,7.31898,3.771,3809.3,8.79673,1296,11.407,5926,1.3
1644.01,0,1.8497201,1.757,5750,11.2477,,9.8203,6019,1.24
1645.01,0,2.1721416,2.7480823,17864.55208,18.0850347,1677.748591,9.25319,6198,1.30937
1647.01,0,6.9744232,2.124,9189,37.9891,1103,10.249,5821.7,1.86
1649.01,0,3.4557863,2.164,6423,16.0772,2058,9.17041,8170,1.78
165.01,0,7.757643,2.8561356,7336.690882,12.7936991,993.2304197,9.6686,6038,1.91151
1650.01,0,9.1505,2.986,1370,11.1497,1132,10.0106,7719,3.02
1652.01,0,0.6664948,1.38,260,3.217,2004,8.68013,5329,1.99
1657.01,0,5.6309047,3.877,1683,7.00844,1933,9.5668,5304,0.79
1658.01,0,0.6803433,2.0674164,565.5754223,8.1888041,4165.816448,10.2674,7325.5,2.97877
1660.01,0,1.3561596,2.504,482,4.12493,2908,9.00007,6375,1.86
1661.01,0,2.0492064,3.417,1030,,,10.1283,,
1662.01,0,2.6093167,1.175,1984,11.4272,,9.7053,7235,1.78
1663.01,0,2.37532,2.957,1940,13.5855,3490,9.84095,7895.7,2.11
1665.01,0,1.76406,3.086,870,12.3762,3961,6.4018,6481.7,2.03
1666.01,0,1.69433,2.169,650,5.20733,2165,10.3693,7185,2
1667.01,0,3.32125,4.304,5760,25.5824,,9.7229,7174,1.76
1668.01,0,2.363311,3.294,1121,2.74038,1697,10.0233,5420,1.04
1672.01,0,3.8954139,2.832,911,5.15915,1359,10.045,6064,1.89
1673.01,0,1.08625,2.534,1110,4.65122,2226,10.2851,5562.6,1.4
1674.01,0,7.45494,3.465,2280,15.1922,1303,9.46925,5029.7,2.45
1678.01,0,13.7058173,2.597,5788,20.2141,,10.3614,8001,2.05
1679.01,0,0.6565741,1.908,423,5.01154,2309,9.9021,5235.5,2.68
1688.01,0,6.7171913,7.5037208,9138.715071,22.875658,1484.812146,10.8001,5843,2.3529
1700.01,0,1.12355,1.611,1020,3.49799,2055,10.8219,5524,1.01
1702.01,0,0.40312,0.853,1000,2.95177,1645,10.9894,4252.9,0.89
1704.01,0,3.929983,2.153,2270,6.51515,1244,10.8508,6621.9,1.34
1705.01,0,13.2054538,4.875,644,3.74642,1039,10.3042,6653,1.67
1707.01,0,2.02365,2.585,1710,5.96472,1952,10.3135,6582,1.48
171.02,0,1.8135767,1.0753316,4166.280204,7.660458,1819.537876,11.6626,5237,1.1072299
1711.01,0,10.2558,5.088,5740,7.44683,934,9.92871,5326,0.97
1712.01,0,3.566276,4.197,3870,20.2251,1851,9.9841,6831.4,3.17
1715.01,0,2.8269356,1.1692366,950.9544382,4.8112209,1795.944628,9.01249,7072,1.50581
1724.01,0,0.6850808,1.0565887,2675.717666,1.9806358,922.0627729,12.507,3541,0.380019
